,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,0.1,1.0,0.2,0.3,0.2,0.1
irish,1.4,0.9,1.4,0.8,0.8,0.0
korean,0.5,0.5,0.4,0.4,0.5,-0.09999999999999998
persian,0.7,0.5,0.5,0.7,1.1,-0.19999999999999996
arabic,0.8,1.0,0.7,1.1,0.4,-0.10000000000000009
spanish,0.1,0.5,0.2,0.2,0.4,0.1
_,0.6,,,,,
english,0.1,,,,,
hindi,1.1,0.7,0.5,1.1,1.2,-0.6000000000000001
turkish,0.7,,,,,
german,0.4,0.6,0.3,0.4,0.2,-0.10000000000000003
indonesian,1.0,,,,,
thai,1.2,4.2,1.0,0.7,1.5,-0.19999999999999996
