,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,15.2,14.1,15.7,18.2,18.6,0.5
irish,0.6,0.6,0.7,0.9,0.8,0.09999999999999998
korean,1.8,1.7,1.7,1.8,1.8,-0.10000000000000009
persian,2.1,2.0,2.1,2.9,2.9,0.0
arabic,1.6,1.1,1.2,1.5,1.6,-0.40000000000000013
spanish,11.2,10.8,10.9,12.6,12.4,-0.29999999999999893
_,3.8,,,,,
english,72.3,,,,,
hindi,0.6,0.8,0.9,0.7,0.8,0.30000000000000004
turkish,2.2,,,,,
german,21.1,18.9,21.3,14.9,14.7,0.1999999999999993
indonesian,6.3,,,,,
thai,0.8,1.2,1.5,0.9,0.9,0.7
