,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,0.7,1.2,0.3,1.1,1.1,-0.39999999999999997
irish,0.3,0.3,0.3,0.2,0.3,0.0
korean,0.0,0.2,0.1,0.2,0.2,0.1
persian,0.3,0.1,0.2,0.4,0.3,-0.09999999999999998
arabic,0.4,0.2,0.2,0.2,0.2,-0.2
spanish,0.4,0.2,0.3,0.5,0.7,-0.10000000000000003
_,0.4,,,,,
english,0.4,,,,,
hindi,0.1,0.1,0.1,0.1,0.2,0.0
turkish,0.3,,,,,
german,1.7,1.4,1.1,0.6,0.8,-0.5999999999999999
indonesian,0.8,,,,,
thai,0.1,0.7,0.3,0.1,0.1,0.19999999999999998
