,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,15.5,4.7,15.4,15.5,15.5,-0.09999999999999964
irish,3.6,2.5,3.8,4.2,4.2,0.19999999999999973
korean,7.2,7.0,7.5,8.5,8.4,0.2999999999999998
persian,4.3,2.6,4.2,4.2,4.1,-0.09999999999999964
arabic,4.4,4.2,4.3,4.4,4.6,-0.10000000000000053
spanish,19.0,10.4,19.3,18.3,18.1,0.3000000000000007
_,11.1,,,,,
english,75.5,,,,,
hindi,2.0,2.3,2.6,1.8,2.0,0.6000000000000001
turkish,6.6,,,,,
german,15.8,9.2,15.6,15.1,14.8,-0.20000000000000107
indonesian,14.6,,,,,
thai,7.2,6.6,7.9,6.4,6.7,0.7000000000000002
