,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,488.6,563.0,468.4,440.6,478.9,-20.200000000000045
irish,988.7,1047.4,832.6,913.1,922.2,-156.10000000000002
korean,723.5,945.7,776.7,922.5,869.7,53.200000000000045
persian,634.0,893.9,623.9,709.5,705.0,-10.100000000000023
arabic,979.8,1025.5,919.5,1034.9,1110.6,-60.299999999999955
spanish,498.3,500.2,488.1,489.4,452.0,-10.199999999999989
_,637.3,,,,,
english,133.9,,,,,
hindi,836.3,967.3,851.9,911.5,949.2,15.600000000000023
turkish,817.2,,,,,
german,347.0,422.7,310.4,386.4,412.7,-36.60000000000002
indonesian,576.2,,,,,
thai,539.1,536.7,579.9,583.1,625.3,40.799999999999955
