,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,70.6,61.9,47.6,10.1,38.7,-22.999999999999993
irish,142.9,151.3,142.9,107.5,53.1,0.0
korean,104.2,96.1,89.0,42.3,75.4,-15.200000000000003
persian,99.5,83.7,88.6,64.3,53.4,-10.900000000000006
arabic,86.8,30.9,113.2,102.0,64.1,26.400000000000006
spanish,64.4,36.2,33.2,73.4,54.9,-31.200000000000003
_,87.8,,,,,
english,18.9,,,,,
hindi,119.0,65.0,50.5,100.9,29.1,-68.5
turkish,130.2,,,,,
german,53.0,48.6,21.9,69.4,53.4,-31.1
indonesian,102.1,,,,,
thai,75.5,55.0,97.5,95.4,75.4,22.0
